hhid,persid,starthour,startime,arrhour,arrtime,triptime,cumdist,trippurp,trippoststratweight,dayType,mainmode,totalvehs,homelga,hhpoststratweight,weekly_hhinc_group,annual_hhinc_group
Y24H6170105,Y24H6170105P06,15,915,15,940,25.0,2.29423,Education,1205.021342163,Weekday,Active,2.0,City,879.8036257,6,6
Y24H6170124,Y24H6170124P02,8,517,8,525,8.0,0.40928,Work,558.746750942,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170124,Y24H6170124P02,15,925,15,934,9.0,0.40924,Work,558.746750942,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170124,Y24H6170124P03,8,517,8,525,8.0,0.40924,Education,367.86260754,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170124,Y24H6170124P03,15,925,15,934,9.0,0.40924,Education,367.86260754,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170124,Y24H6170124P04,8,517,8,525,8.0,0.40924,Education,594.516854866,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170124,Y24H6170124P04,15,925,15,934,9.0,0.40924,Education,594.516854866,Weekday,Active,1.0,City,479.91904,12,12
Y24H6170131,Y24H6170131P04,15,900,15,910,10.0,0.46694,Work,672.350611691,Weekday,Active,2.0,City,560.5848097,3,3
Y24H6170306,Y24H6170306P01,8,510,8,515,5.0,0.29223,Work,238.692530575,Weekend,Active,1.0,City,348.1751395,13,13
Y24H6170306,Y24H6170306P01,8,525,8,530,5.0,0.29223,Work,238.692530575,Weekend,Active,1.0,City,348.1751395,13,13
Y24H6170311,Y24H6170311P02,8,525,8,530,5.0,0.42178,Work,211.009354158,Weekday,Active,1.0,City,324.8190088,6,6
Y24H6170311,Y24H6170311P02,17,1050,17,1055,5.0,0.42189,Work,211.009354158,Weekday,Active,1.0,City,324.8190088,6,6
Y24H6170315,Y24H6170315P02,16,973,16,975,2.0,0.11759,Recreational,368.682265212,Weekday,Active,2.0,City,431.7123461,7,7
Y24H6170317,Y24H6170317P02,15,900,15,930,30.0,1.9491,Recreational,234.131353848,Weekday,Active,1.0,City,340.5452135,8,8
Y24H6170317,Y24H6170317P02,16,970,16,1000,30.0,1.94914,Recreational,234.131353848,Weekday,Active,1.0,City,340.5452135,8,8
Y24H6170318,Y24H6170318P01,14,840,14,845,5.0,0.17011,Recreational,332.839031977,Weekday,Active,1.0,City,324.8190088,8,8
Y24H6170318,Y24H6170318P01,14,855,14,860,5.0,0.17011,Recreational,332.839031977,Weekday,Active,1.0,City,324.8190088,8,8
Y24H6170318,Y24H6170318P01,15,920,15,930,10.0,0.80516,Recreational,332.839031977,Weekday,Active,1.0,City,324.8190088,8,8
Y24H6170318,Y24H6170318P01,17,1020,17,1030,10.0,0.80516,Recreational,332.839031977,Weekday,Active,1.0,City,324.8190088,8,8
Y24H6170321,Y24H6170321P01,11,676,11,681,5.0,0.23249,Recreational,387.151845036,Weekend,Active,1.0,City,371.3046531,15,15
Y24H6170321,Y24H6170321P01,11,686,11,690,4.0,0.23256,Recreational,387.151845036,Weekend,Active,1.0,City,371.3046531,15,15
Y24H6170321,Y24H6170321P01,14,862,14,868,6.0,0.25305,Recreational,387.151845036,Weekend,Active,1.0,City,371.3046531,15,15
